"SL No.","Name","Constituency","State","Party Name"
"1","Shri Bishnu Pada Ray","Andaman and Nicobar Islands","Andaman and Nicobar Islands","Bharatiya Janata Party"
"2","Dr. Ravindra Babu Pandula","Amalapuram","Andhra Pradesh","Telugu Desam Party"
"3","Shri Muthamsetti Srinivasa Rao (Avanthi)","Anakapalle","Andhra Pradesh","Telugu Desam Party"
"4","Shri J.C. Divakar Reddy","Anantapur","Andhra Pradesh","Telugu Desam Party"
"5","Smt. Geetha Kothapalli","Araku","Andhra Pradesh","Yuvajana Sramika Rythu Congress Party"
"6","Shri Sriram Malyadri","Bapatla","Andhra Pradesh","Telugu Desam Party"
"7","Dr. Naramalli Sivaprasad","Chittoor","Andhra Pradesh","Telugu Desam Party"
"8","Shri Venkateswara Rao (Babu) Magantti","Eluru","Andhra Pradesh","Telugu Desam Party"
"9","Shri Jayadev Galla","Guntur","Andhra Pradesh","Telugu Desam Party"
"10","Shri Kristappa Nimmala","Hindupur","Andhra Pradesh","Telugu Desam Party"
"11","Shri Narasimham Thota","Kakinada","Andhra Pradesh","Telugu Desam Party"
"12","Smt. Renuka Butta","Kurnool","Andhra Pradesh","Yuvajana Sramika Rythu Congress Party"
"13","Shri Konakalla Narayana Rao","Machilipatnam","Andhra Pradesh","Telugu Desam Party"
"14","Shri S.P.Y. Reddy","Nandyal","Andhra Pradesh","Yuvajana Sramika Rythu Congress Party"
"15","Shri Rayapati Sambasiva Rao","Narasaraopet","Andhra Pradesh","Telugu Desam Party"
"16","Shri Gokaraju Ganga Raju","Narsapuram","Andhra Pradesh","Bharatiya Janata Party"
"17","Shri Murali Mohan Maganti","Rajahmundry","Andhra Pradesh","Telugu Desam Party"
"18","Shri Kinjarapu Ram Mohan Naidu","Srikakulam","Andhra Pradesh","Telugu Desam Party"
"19","Shri Srinivas Kesineni","Vijayawada","Andhra Pradesh","Telugu Desam Party"
"20","Dr. Hari Babu Kambhampati","Visakhapatnam","Andhra Pradesh","Bharatiya Janata Party"
"21","Shri Ashok Gajapathi Raju Pusapati","Vizianagaram","Andhra Pradesh","Telugu Desam Party"
"22","Shri Ninong Ering","Arunachal East","Arunachal Pradesh","Indian National Congress"
"23","Shri Kiren Rijiju","Arunachal West","Arunachal Pradesh","Bharatiya Janata Party"
"24","Shri Biren Singh Engti","Autonomous District","Assam","Indian National Congress"
"25","Shri Sirajuddin Ajmal","Barpeta","Assam","All India United Democratic Front"
"26","Maulana Badruddin Ajmal","Dhubri","Assam","All India United Democratic Front"
"27","Shri Rameswar Teli","Dibrugarh","Assam","Bharatiya Janata Party"
"28","Smt. Bijoya Chakravarty","Gauhati","Assam","Bharatiya Janata Party"
"29","Shri Kamakhya Prasad Tasa","Jorhat","Assam","Bharatiya Janata Party"
"30","Shri Gaurav Gogoi","Kaliabor","Assam","Indian National Congress"
"31","Shri Radheshyam Biswas","Karimganj","Assam","All India United Democratic Front"
"32","Shri Naba (Hira) Kumar Sarania","Kokrajhar","Assam","Independents"
"33","Shri Pradan Baruah","Lakhimpur","Assam","Bharatiya Janata Party"
"34","Shri Ramen Deka","Mangaldoi","Assam","Bharatiya Janata Party"
"35","Shri Rajen Gohain","Nawgong","Assam","Bharatiya Janata Party"
"36","Km. Sushmita Dev","Silchar","Assam","Indian National Congress"
"37","Shri Ram Prasad Sarmah","Tezpur","Assam","Bharatiya Janata Party"
"38","Shri Sarfaraz Alam","Araria","Bihar","Rashtriya Janata Dal"
"39","Shri Raj Kumar Singh","Arrah","Bihar","Bharatiya Janata Party"
"40","Shri Sushil Kumar Singh","Aurangabad","Bihar","Bharatiya Janata Party"
