#,Constituency,Name,Party,Party
1,Araku(ST),Goddeti Madhavi,,YSR Congress Party
2,Srikakulam,Ram Mohan Naidu Kinjarapu,,Telugu Desam Party
3,Vizianagaram,Bellana Chandra Sekhar,,YSR Congress Party
4,Visakhapatnam,M. V. V. Satyanarayana,,
5,Anakapalli,Beesetti Venkata Satyavathi,,
6,Kakinada,Vanga Geetha,,
7,Amalapuram(SC),Chinta Anuradha,,
8,Rajahmundry,Margani Bharat,,
9,Narasapuram,Raghu Rama Krishna Raju(Switched from YSRCP to TDP)[1],,YSR Congress Party
,Telugu Desam Party,,,
10,Eluru,Kotagiri Sridhar,,YSR Congress Party
11,Machilipatnam,Vallabhaneni Balasouri(Switched from YSRCP to JSP)[2],,YSR Congress Party
,Jana Sena Party,,,
12,Vijayawada,Kesineni Srinivas(Resigned on 10 January 2024),,Telugu Desam Party
Vacant,Vacant,Vacant,,
13,Guntur,Galla Jayadev,,Telugu Desam Party
14,Narasaraopet,Lavu Sri Krishna Devarayalu(Resigned on 24 January 2024),,YSR Congress Party
Vacant,Vacant,Vacant,,
15,Bapatla(SC),Nandigam Suresh,,YSR Congress Party
16,Ongole,Magunta Sreenivasulu Reddy(Switched from YSRCP to TDP)[3],,YSR Congress Party
,Telugu Desam Party,,,
17,Nandyal,Pocha Brahmananda Reddy,,YSR Congress Party
18,Kurnool,Sanjeev Kumar(Resigned on 10 January 2024),,YSR Congress Party
Vacant,Vacant,Vacant,,
19,Anantapur,Talari Rangaiah,,YSR Congress Party
20,Hindupur,Kuruva Gorantla Madhav,,
21,Kadapa,Y. S. Avinash Reddy,,
22,Nellore,Adala Prabhakara Reddy,,
23,Tirupati(SC),Balli Durga Prasad Rao(Died on 16 September 2020)[4],,
Maddila Gurumoorthy(Elected on 2 May 2021),,,,
24,Rajampet,P. V. Midhun Reddy,,
25,Chittoor(SC),N. Reddeppa,,
1,Arunachal West,Kiren Rijiju,,Bharatiya Janata Party
2,Arunachal East,Tapir Gao,,
1,Karimganj(SC),Kripanath Mallah,,Bharatiya Janata Party
2,Silchar,Rajdeep Roy,,
3,Autonomous District(ST),Horen Sing Bey,,
4,Dhubri,Badruddin Ajmal,,All India United Democratic Front
5,Kokrajhar(ST),Naba Kumar Sarania,,Independent
6,Barpeta,Abdul Khaleque,,Indian National Congress
7,Gauhati,Queen Oja,,Bharatiya Janata Party
8,Mangaldoi,Dilip Saikia,,
9,Tezpur,Pallab Lochan Das,,
10,Nowgong,Pradyut Bordoloi,,Indian National Congress
11,Kaliabor,Gaurav Gogoi,,
12,Jorhat,Topon Kumar Gogoi,,Bharatiya Janata Party
13,Dibrugarh,Rameswar Teli,,
14,Lakhimpur,Pradan Baruah,,
1,Valmiki Nagar,Baidyanath Prasad Mahto(Died on 28 February 2020)[5],,Janata Dal (United)
Sunil Kumar(Elected on 10 November 2020),,,,
2,Paschim Champaran,Sanjay Jaiswal,,Bharatiya Janata Party
3,Purvi Champaran,Radha Mohan Singh,,
4,Sheohar,Rama Devi,,
5,Sitamarhi,Sunil Kumar Pintu,,Janata Dal (United)
6,Madhubani,Ashok Kumar Yadav,,Bharatiya Janata Party
7,Jhanjharpur,Ramprit Mandal,,Janata Dal (United)
8,Supaul,Dileshwar Kamait,,
9,Araria,Pradeep Kumar Singh,,Bharatiya Janata Party
10,Kishanganj,Mohammad Jawed,,Indian National Congress
11,Katihar,Dulal Chandra Goswami,,Janata Dal (United)
12,Purnia,Santosh Kumar,,
13,Madhepura,Dinesh Chandra Yadav,,
14,Darbhanga,Gopal Jee Thakur,,Bharatiya Janata Party
15,Muzaffarpur,Ajay Nishad,,
16,Vaishali,Veena Devi,,Rashtriya Lok Janshakti Party
17,Gopalganj(SC),Alok Kumar Suman,,Janata Dal (United)
18,Siwan,Kavita Singh,,
19,Maharajganj,Janardan Singh Sigriwal,,Bharatiya Janata Party
20,Saran,Rajiv Pratap Rudy,,
21,Hajipur(SC),Pashupati Kumar Paras,,Rashtriya Lok Janshakti Party
22,Ujiarpur,Nityanand Rai,,Bharatiya Janata Party
23,Samastipur(SC),Ram Chandra Paswan(Died on 21 July 2019)[6],,Lok Janshakti Party
Prince Raj(Elected on 24 October 2019),,Rashtriya Lok Janshakti Party,,
24,Begusarai,Giriraj Singh,,Bharatiya Janata Party
25,Khagaria,Mehboob Ali Kaiser,,Rashtriya Janata Dal
26,Bhagalpur,Ajay Kumar Mandal,,Janata Dal (United)
27,Banka,Giridhari Yadav,,
28,Munger,Lalan Singh,,
29,Nalanda,Kaushalendra Kumar,,
