Speaker,Speech,Words_in_Speech,Language
Preamble,Title: Further discussion on the Motion of Thanks on the President’s Address moved by Shri Anurag Singh Thakur and seconded by Shri Nishikant Dubey (Discussion not concluded).,27,en
HON. DEPUTY-SPEAKER,"Now, the House will take up further consideration of the following motion moved by ShriAnurag Singh Thakur and seconded by Shri Nishikant Dubey on 24thFebruary, 2015: “ That an Address be presented to the President in the following terms:- ‘That the Members of the Lok Sabha assembled in this Session are deeply grateful to the President for the Address which he has been pleased to deliver to both Houses of Parliament assembled together on February 23, 2015’. ”",78,en
Shri Arvind Sawant to continue. श्री अरविंद सावंत ( मुम्बई दक्षिण ),"उपाध्यक्ष महोदय , कल जब मैं राष्ट्रपति जी के अभिभाषण पर अपने विचार प्रकट कर रहा था तो लैंड एक्वीजिशन कानून पर आया था। हम जनतंत्र को मानते हैं। किसानों की सहमति के बिना उनकी जमीन अधिग्रहण करना उचित नहीं होगा। हमारी सरकार कहती है ‘ सबका साथ सबका विकास ’ तो क्या हम नहीं चाहते कि हमें किसानों का साथ भी चाहिए , किसान भी हमारे साथ रहें ? मुझे नहीं लगता कि किसानों को दुखी करना हमारी सरकार के लिए उचित होगा। हम एक तरफ कहते हैं कि किसान हमारी खाद्य सुरक्षा का प्रहरी है। ‘ अन्नदाता सुखी भव :’ इस संस्कार को लेकर हम किसान को धन्यवाद अदा करते हैं। हमारी सरकार किसानों की खुशहाली को सर्वाधिक प्राथमिकता देने की बात करती है। हमने मृदा वर्ष घोषित किया और प्रधान मंत्री सिंचन योजना भी घोषित की। जब मेरे पास जमीन ही नहीं रही तो प्रधान मंत्री सिंचन योजना का क्या होगा। यहां कृषि मंत्री जी बैठे हुए हैं। मैं उनका ध्यान आकर्षित करना चाहता हूं कि बाहर माहौल बहुत गंदा हो रहा है। वे बहुत दुखी हैं। हम एक तरफ उन्हें खुशहाल देखना चाहते हैं , उन्हें प्रधान मंत्री सिंचन योजना के तहत लाना चाहते हैं , फसल अच्छी हो , इसके लिए प्रयास कर रहे हैं और दूसरी तरफ भूमि अधिग्रहण के तहत उनसे बिना पूछे , बिना सहमति , बिना कानून उनकी जमीन ले लेंगे , यह जो भय उनके मन में निर्माण हुआ है , उसका निराकरण हमारी सरकार को करना होगा। मुझे विश्वास है कि हमारी सरकार उस तरफ भी अपना कदम उठाएगी और आगे चलकर , क्योंकि , उसमें कुछ अच्छी चीजें करना चाहती थी , लेकिन जनतंत्र को लेकर वे काम नहीं हो रहे हैं , वे जनतंत्र के आधार पर होने चाहिए। किसानों को दुखी करके ये काम न हों , ऐसी मेरी प्रार्थना है। माननीय सदस्य निशिकांत दूबे जी ने लोहिया जी की बात याद दिलाई और यूनीफार्म प्राइमरी स्कूल की बात की। दूबे जी , मैं आपको याद दिलाता हूं कि जब मैंने पहली बार राष्ट्रपति जी के अभिभाषण पर अपना मत व्यक्त किया था , उस वक्त भी मैंने यही कहा था , प्राइमरी और अपर प्राइमरी स्कूलों में सिलेबस सेम होना चाहिए। भाषा का माध्यम कुछ भी हो , तमिल हो , मराठी हो , हिन्दी हो , जो भी माध्यम हो , लेकिन सिलेबस सेम हो। आज जो डिस्क्रिमिनेशन पैदा हुआ है , उसकी वजह सिलेबस है , क्योंकि , सिलेबस सेम नहीं है। आज गांव में रहने वाला छात्र इन सारी चीजों से वंचित है। दूसरी तरफ सरकार ने एक अच्छी बात की है , अब शिक्षकों को भी अच्छी शिक्षा देने के लिए ट्रेनिंग का प्रोग्राम तय किया है। मैं इसकी सराहना करता हूं , स्वागत करता हूं। अगर आधुनिक शिक्षा देनी है तो उसके लिए शिक्षक को भी पात्र होना होगा। मेरी सरकार उस तरफ ध्यान दे रही है , सरकार को सिलेबस के ऊपर भी ध्यान देना चाहिए , तभी प्राइमरी स्कूलों में यूनिफार्मिटी आएगी। आई.सी.एस.ई या सी.बी.एस.सी या सेन्ट्रल बोर्ड की शिक्षा का स्तर ऊंचा करना है। हमारे पार्टी प्रमुख उद्धव ठाकरे जी ने मुंबई महानगर पालिका के स्कूलों में जाने वाले छात्रों को उनकी शिक्षा का स्तर ऊंचा करने के लिए एक वर्चुअल क्लास रूम शुरू किया है , वर्चुअल क्लास रूम में सबसे अच्छे शिक्षक को बुलाया जाता है , जो उस विषय के विशेषज्ञ माने जाते हैं , एक ही साथ 200-250 स्कूलों में दसवी कक्षा के बच्चों को किसी एक विषय में पढ़ाते हैं , पढ़ाने के बाद अगर उनके मन में शंका होती है , उनकी शंकाओं का निराकरण भी वर्चुअल क्लास रूम से ही होता है। महोदय , आप खुश होंगे कि म्यूनिसिपल स्कूल में जाने वाले बच्चों के पास होने का स्तर बढ़ गया , उनके अंक बढ़ गए और स्कूलों में पास होने का परसेंटेज भी बढ़ गया। यह सरकार उस तरह से अच्छा काम करेगी , यह मैं अपेक्षा करता हूं। मैं रूडी साहब का ध्यान आकर्षित करना चाहता हूं , क्योंकि आप कौशल विकास के मंत्री भी हैं , मैं बहुत खुश हूं। Let me appreciate you wholeheartedly. An young and dynamic leader like you should take keen interest in that. आई.टी.आई. अलग - अलग क्षेत्रों में बंट गया है , आधुनिकता आ गई है , तंत्र ज्ञान भी बढ़ गया है , उसको लेकर आई.टी.आई. में आना चाहिए। एक बात मुझे हमेशा दुखी करती है , जब हम रास्ते पर जाते हैं , गाड़ी में घूमते हैं , हमारे देश में भीख मांगने वाले बच्चों की संख्या बहुत है , सरकार ने क्या इस बारे में कभी सोचा है ? उसका बचपन खो गया , वह रास्ते पर सोता है , रास्ते पर पढ़ता है , जो कपड़े मिल जाए उसी को पहन लेता है , नंगे पांव रहता है , धूप में , बरसात में घूमता है , हम लोगों को उसके लिए कुछ करना होगा। उसका रिफ्लेक्शन यहां नहीं है। मैं सरकार का इस तरफ ध्यान आकर्षित करना चाहता हूं। हम बच्चों को भीख मांगने में नहीं लगाएंगे , इस देश का कोई भी लड़का , कोई भी बच्चा भीख नहीं मांगेगा , इसको लेकर कुछ योजना आनी चाहिए। आपने हुनर के बारे में बात की , हुनर है , लेकिन उसे ढूंढना पड़ेगा , आप स्पोटर्स में भी देख रहे हैं। आदरणीय प्रधानमंत्री जी की एक बात याद आती है , हम ऐसा क्यों सोचते हैं कि दसवी कक्षा पास हो गया , अगर वह बच्चा आई.टी.आई. में पास होता है तो उसका भी मूल्य दसवी कक्षा पास जैसा समझना चाहिए। बाजार में उसकी वैल्यू कम नहीं होती , उसको कहा जाता है कि तुम आठवी कक्षा पास है , यह कौन सी बात है If he passes the ITI training course or something like that, then we should treat that he possess the ITI certificate. स्वास्थ्य सेवाओं में भी बाल मृत्यु दर घटाने की बात हो रही है , खासकर आदिवासी लोगों में इसकी दर बहुत ज्यादा है। जब हर्षवर्द्धन जी स्वास्थ्य मंत्री थे , तब आयुष विभाग शुरू हुआ था। बचपन में मां के पास जड़ी - बूटी की दवा रहती थी , ग्राइप वाटर आता है , उसी तरह बचपन में मां खिलाती थी , आज जड़ियां - बूटियां नहीं हैं। उसकी तरफ मैं सरकार का ध्यान आकर्षित करना चाहता हूं। पारंपरिक दवाओं को लेकर आयुष विभाग ने जो योजना शुरू की है , मैं उसका स्वागत करता हूं। छोटी - छोटी चीजों पर हमारी सरकार ध्यान देती है। एक बात स्वच्छता अभियान से जुड़ी हुई है। हाल ही में मैं कैंसर अस्पताल के डॉयरेक्टर से मिला , उन्होंने कहा कि जब हम जांच करते हैं तो शहरों में रहने वाले लोगों में कैंसर होने की संख्या कम हो रही है और गांवों में ज्यादा बढ़ रही है। क्योंकि , स्वच्छता का अभाव है , इसके लिए मैं प्रधान मंत्री जी की सराहना करता हूं। लोगों को यह बहुत छोटी सी चीज लगी होगी , लेकिन उन्हें पता नहीं कि स्वच्छता के कारण उनका स्वास्थ्य अच्छा रहेगा। उपाध्यक्ष महोदय , मैं एक - दो मिनट में अपनी बात समाप्त कर रहा हूं। हम श्रमेव जयते की बात करते हैं। हमारे पास इम्प्लायमैंट एक्सचेंज एक्ट है , जो आज भी अस्तित्व में है। हमारे युवा बच्चे आज इम्प्लायमैंट एक्सचेंज में रजिस्टर करने नहीं जाते हैं , क्योंकि , अब जॉब देने का तरीका ऑन लाइन हो गया है। कौन कहां से आता है , कहां जॉब मिलता है , इसका पता ही नहीं चलता। सरकार के पास कोई आंकडे नहीं हैं कि कितने बच्चे अनएम्प्लायड हैं और कितने बच्चों को जॉब मिला। इम्प्लायमैंट एक्सचेंज होने की वजह से पहले रजिस्ट्री होती थी , जिससे पता चलता था कि कितने बच्चों को जॉब मिली। हमने जो आतंकवादी बच्चे पकड़े हैं , वे आई.टी. की किस कम्पनी में काम करते थे , इसका हमें पता नहीं था। वे कहां से आये , कैसे नौकरी मिली , उसकी कोई भी इन्फोर्मेशन हमारे पास नहीं है। मैं वैंकेया नायडु जी से प्रार्थना करना चाहता हूं कि if the Employment Exchange Act is existing, it should be adhered to. Nothing is being implemented according to that Act. It is almost like abolished. People are getting job, wherever they want it. They are going for interview on-line. The registration is not there as to where that boy has come from and whether he belong to ISI or something. Nothing is known. We have found that the people who are working in the IT sector are prone to that ISI activity and other things. The care should be taken. मैं एक प्रार्थना और करना चाहता हूं । हम लेबर इंश्योरेंस बिल लेकर आये। मैं पी.एस.यूज. को मजबूत करने की बात बार - बार करता हूं , क्योंकि , उसकी एक वजह है। आज सुबह मैं माननीय कम्युनिकेशन मिनिस्टर साहब का उत्तर सुन रहा था। जब डिजीटल इंडिया की बात आयी , तो केरल के एक सांसद ने कहा कि बी.एस.एन.एल. प्रॉफिट में है , लेकिन माननीय मंत्री जी ने उसका कोई जवाब नहीं दिया। हम डिजिटल इंडिया की बात कर रहे हैं। इस सदन में उनके दोनों जवाब आये हैं। छः महीने में हम आगे नहीं गये हैं। हम अपने बच्चों को अच्छा देखना चाहते हैं , उनकी तबीयत अच्छी देखना चाहते हैं। अब पी.एस.यूज. हमारी सरकार के बच्चे हैं और उन्हें उसे संभालना चाहिए। पी.एस.यूज. डेंजर में हैं , यह बोलना आसान है। एयर इंडिया को डुबाया , यह बोलना आसान है। एयर इंडिया को इस संकट से बाहर लाना ही आपकी क्षमता है और यह आपकी ताकत बतायेगी। हमारी सरकार उस संकट से एयर इंडिया को बाहर लायी , उस संकट से बी.एस.एन.एल. , एम.टी.एन.एल. और बैंकों को बाहर लायी। अगर जन - धन योजना चालू हुई तो वह पब्लिक सैक्टर के बैंकों की वजह से लोगों तक पहुंची , न कि प्राइवेट बैंकों की वजह से पहुंची। ...( व्यवधान ) मैं यह अपेक्षा करता हूं कि पी.एस.यूज. की तरफ सरकार ध्यान दे और उसे मजबूत करे। उसके लिए जो भी करना है , वह करे। आज हमारे सहयोगी सदस्यों ने पूछा कि कब टावर लेंगेंगे , तो कहा गया कि अभी लगने वाले हैं। पिछले छः महीने से सब सांसद इस सदन में पी.एस.यूज. के बारे में कह रहे हैं कि एम.टी.एन.एल. , बी.एस.एन.एल. की सेवा खराब हुई है। क्या एक टावर नहीं लगता ? आठ - आठ महीने तक टावर नहीं लगता। उसकी सैंक्शन के लिए टाइम लगता है। जब मैंने हैंड इन ग्लोव की बात की तो बुरा लगा। मैंने यह बात कही कि कैसे अधिकारी प्राइवेट कम्पनियों से हैंड इन ग्लोव हैं। ...( व्यवधान ) मैं दो - तीन छोटी - छोटी बातें बताकर अपनी बात समाप्त कर रहा हूं। मैं उन पर ज्यादा बहस नहीं करूंगा , क्योंकि , ये मेरे खुद के विषय हैं। अभी हाल ही में पेट्रोलियम मिनिस्ट्री में जासूसी करने पर काफी लोग पकड़े गये। इसका क्या मतलब है ? There are people who are hand in glove with the private sector. They existed in the telecom sector also and still they are existing. जिस दिन कोई रिटायर होता है , उसके दूसरे दिन ही वह प्राइवेट कम्पनी में नौकरी कर रहा होता है। इसका क्या मतलब है ? आज कोई बी.एस.एन.एल. से रिटायर हुआ , तो उसके दूसरे दिन ही वह रिलायंस , एयरटेल में नौकरी कर रहा होता है। उन्हें कैसे जॉब मिलती है ? They were in touch with them from the beginning. They do not see the well-being of their own company, but they see the well-being of the private entrepreneur. That is what is happening. Therefore, I would request you to take care of this. मैं एन.टी.सी. , यानी नैशनल टेक्सटाइल कार्पोरेशन की बात करना चाहता हूं। हमने टेक्सटाइल में प्रगति की है। पहले मुम्बई शहर टेक्सटाइल मिलों का शहर माना जाता था। आज टेक्सटाइल मिलों के मजदूर रास्ते पर हैं , वे घरों की मांग कर रहे हैं। टेक्सटाइल मिलों के पास जमीन नहीं है। सरकार को उस पर निर्णय लेने की आवश्यकता है। मैं सरकार से प्रार्थना करना चाहता हूं कि वह उस तरफ ध्यान दे। हमारी सरकार ने एक अच्छी बात कही , जिसके सुनकर बड़ा गर्व हुआ। यूनिटी का स्टेचू आप वल्लभभाई पटेल जी का बना रहे हैं। इसे देखकर बड़ा गर्व हुआ , अभिमान हुआ। मैं उसका स्वागत करता हूं , अभिनंदन करता हूं। हमारे राज्य की सरकार छत्रपति शिवाजी महाराज का स्टैच्यू बना रही है , वह उसे समुद्र में बनाना चाहती है , उसके लिए क्या केन्द्र की हमारी सरकार मदद करेगी या नहीं ? हमारी सरकार ने वहां पर बाबा साहेब डाक्टर अम्बेडकर के लिए एन.टी.सी. मिल की जगह मांगी , वह आपके पास प्रलम्बित है। इन दोनों के बारे में इसमें जिक्र नहीं आया है , मैं चाहता हूं कि इन पर भी हमारी सरकार ध्यान दे। सोलर एनर्जी के ऊपर ध्यान दें। आखिर में , मैं इतना ही कहूंगा कि नमामि गंगे की जब बात आती है , गंगा की तरफ जो ध्यान दिया गया , मैं उसका स्वागत करता हूं। महाराष्ट्र में नासिक में अभी कुम्भ मेला होने वाला है। गोदावरी नदी प्रदूषित हुई है। त्रयम्बकेश्वर में उसका उद्गम है , उस पर भी ध्यान देने की आवश्यकता है। साधुओं ने आंदोलन का आह्वान किया है , अगर सरकार उस पर ध्यान नहीं देगी तो वे गन्दे पानी में स्नान नहीं करेंगे , ऐसी धमकी उन्होंने दी है। आप उस पर ध्यान दें।... ( व्यवधान ) मैं एक वाक्य और कहना चाहूंगा।",2208,hi
HON. DEPUTY SPEAKER,All Members are interested to have rivers in their States cleaned; they want the Government to look into the matter.,20,en
श्री अरविंद सावंत,"फिर भी मैं इस सरकार पर विश्वास रखता हूं , मुझे लगता है कि हमारे प्रधान मंत्री जी इसके बारे में ध्यान देंगे। मेरी सरकार कोशिश करने वाली है , इसलिए मैं इतना ही कहूंगा : “ लहरों से डरकर नौका पार नहीं होती , कोशिश करने वालों की कभी हार नहीं होती। ”",54,hi
HON. DEPUTY SPEAKER,"Hon. Members, those who wish to submit their written speeches are allowed to do so. They can submit their speeches at the Table. That is to be allowed.",28,en
"Shri M. Venkaiah Naidu, Hon. Minister, to intervene in the debate. THE MINISTER OF URBAN DEVELOPMENT, MINISTER OF HOUSING AND URBAN POVERTY ALLEVIATION AND MINISTER OF PARLIAMENTARY AFFAIRS (SHRI M. VENKAIAH NAIDU)","Hon. Deputy-Speaker, Sir, I would like to intervene in this discussion for conveying thanks to the hon. President for his valuable address to this House. Sir, the President’s Address started with the words, “ The greatest strength of India is her rich spiritual and civilisational heritage. ” We Indians feel proud of our culture, our heritage; and we always talk about it. Some people unfortunately do not like this, but we cannot help it. This is a vision and this is the commitment of this Government that we have to preserve the cultural and spiritual heritage of this land which is given to us by our forefathers over thousands of years of civilization. आदिकाल से , वेद काल से , पुराण काल से , जो हमारे पूर्वजों ने लिया और दिया , विरासत में हमें मिला , उस पर हमें गर्व महसूस करना चाहिए , उसको आगे बढ़ाना चाहिए। हमारी फिलॉसफी है - सबका साथ , सबका विकास। All together, development of all. ...( व्यवधान ) यह अच्छा नहीं है। ...( व्यवधान ) हमें अपनी जिम्मेदारी याद है। इतना भारी बहुमत हमें जनता ने दिया , हमारी जिम्मेदारी क्या है , यह हमें मालूम है।... ( व्यवधान )",198,hi
श्री ज्योतिरादित्य माधवराव सिंधिया ( गुना ),"भारी बहुमत दिया था , लेकिन दिल्ली चुनाव में भा.ज.पा का क्या हाल हुआ ? ...( व्यवधान )",18,hi
श्री एम. वैंकैय्या नायडू,"अगर मुझे अभिनन्दन करना है तो मान का अभिनन्दन करूंगा , उनको सम्मान मिला , आपको अपमान मिला। आप क्यों ऐसा बोल रहे हैं ? Sir, eight State Assemblies went to polls after Parliament elections. In seven States, the BJP and the NDA have won the clear mandate. This has to be understood. And the people who are objecting and who are trying to interrupt me are being reduced, reduced and reduced. They have to understand this. I do not want to join a slanging match, but my friends must have some patience. We had patience for fifty years. All these people who are sitting here, they all sat in patience for fifty years, have undergone all the suffering. You enjoyed the power. Please have patience for another five years. That is my suggestion to you. SOME HON. MEMBERS: Another fifteen years.",142,hi
SHRI M. VENKAIAH NAIDU,"The main issue today is poverty elimination. That is the issue today. And that is the Mantra and that is the guidance that our leader hon. Prime Minister has given to us. That is what the President’s Address also stresses upon. How do you do it? Sir, poverty is a bane to dignified human existence. Development is accentuated only when the last person gets a sense of fulfillment. It did not happen in the last 50-60 years. After 68 years of independence, 68 per cent of rural India has no access to some of the basic needs like toilets and 26 per cent are below poverty line, 38 per cent cannot read and write. What is more saddening, at certain places hunger deaths are happening and at certain places farmers are committing suicide. It is a challenge to all of us and this entire House and this Parliament should accept the challenge and concentrate our efforts and focus in seeing to it that these challenges are addressed to. If we start blaming each other, I can only tell you that will end in a futile exercise because people have seen who has been in power out of 68 years; how many years that side was in power, how many years this side was in power and how many years the people who are sitting in the middle also joined power. So that is a fact of history. I am not going to change it. I am not going to talk about a particular Member. Today morning, while replying to a question, I said there is shortage of 1.8 crore housing units in the country. This is a challenge. At a number of places, power is supplied only 4 or 6 or 8 hours in a number of States. That is a challenge. Some of our friends were talking about lack of potable water. That is a challenge before us. Some of our friends were complaining about the quality of the mid-day meal, that is a challenge. Some of our friends have been complaining about the treatment given to women. That is the biggest challenge for all of us. My point is, we must now focus on development. That is what the President’s Address is stressing, that is what the Prime Minister of India wants. The focus should be on development and speedy development and development alongwith good governance. केवल विकास से ही काम नहीं होगा , विकास के साथ - साथ सुशासन भी होना चाहिए , नहीं तो जनता तक फायदा नहीं पहुंचेगा , आम आदमी तक फायदा नहीं पहुंचेगा। इस बात को हमें गम्भीरता से स्वीकार करना चाहिए। मैं बताना चाहता हूं कि हमारी सरकार ने सत्ता में आने के बाद अभी तक जो भी काम किया , सुशासन की दिशा में ही काम किया और आगे भी उसी दिशा में करते रहेंगे। मेरे मन को बहुत खुशी हुई , मैं कल रात बहुत इम्मोटिव था , कारण यह है कि कल सरकार द्वारा 14 वें वित्त आयोग की सिफारिशों को स्वीकार करने का जो निर्णय हुआ और उसे सदन के समक्ष रखा , उससे पूरी दुनिया में भारत के फैडरल सिस्टम के बारे में चर्चा हो रही है। हमारे प्रधान मंत्री जी पहले मुख्य मंत्री के रूप में भी काम कर चुके हैं। उस समय भी उन्होंने जो अनुभव किया , वह हमेशा बताते रहे। उनका तब भी यही कहना था और अब भी कि जब तक राज्य मजबूत नहीं होंगे , देश को मजबूत करना सम्भव नहीं है। हम उस पर विश्वास करते हैं। जब तक तेलंगाना , पंजाब , आंध्र प्रदेश , झारखंड , ओडिशा , वैस्ट बंगाल , असम , मणिपुर , राजस्थान , उत्तर प्रदेश जो सबसे बड़ा प्रदेश है , कहने का मतलब यह है कि सब राज्य मजबूत नहीं होंगे , तब तक देश मजबूत होना सम्भव नहीं है। प्रदेश के बिना देश अधूरा है , इस बात को हमें गम्भीरता से लेना चाहिए। For the first time, 42 per cent of the Union tax receipts will be devolved to the States. This is a historical decision. Also, Grants to local bodies and municipalities are increased. The 73rdand 74thAmendments which were brought during Shri Rajivji’s period have not become a full reality because many of the States have not devolved funds, functions and functionaries to the local bodies. Whether it is this Government or that Government is a secondary issue but the fact of the matter is, 29 subjects were supposed to be devolved to the local bodies, but that has not happened fully. They are also starving for funds. Being a municipal administration minister or Urban Development Minister, I have been receiving representations. That has also been taken care of. Nearly 4 to 5 per cent of funds are now sent directly to the local bodies and they are going to be strengthened. The third one is the States which are having Revenue deficit for other reasons, historical or whatever they may be. States which are continuously affected by natural calamities are also being considered. States which are performing better and have a better fiscal discipline have also been taken care of. The Khusro Commission recommended 29.5 per cent; the Rangarajan Commission recommended one per cent increase; the Vijay Kelkar Commission recommended two per cent increase. This time, during this Government, there is ten per cent increase for the first time in the history. It is ten per cent plus what goes to the local bodies, plus what goes to disaster mitigation and relief, plus what goes to the well performing States, plus what goes to cover revenue deficit. In the history of India, this will be a golden letter day and the people in the States will all be enjoying it. This has happened in spite of one of the Members of the Finance Commission giving a dissenting note cautioning the Government that the States will be rich but the Centre will be poor. It was Shri Abhijit Sen’s view. He has got every right to have his view but the Government in its collective wisdom and the Cabinet presided over by our hon. Prime Minister who believes in the philosophy of strengthening the States and then strengthening the country has accepted these recommendations fully and they are now going to be implemented. There is going to be a sea change with regard to the finances of some of the States. Compared to 2013-14, States would now get Rs. 1,75,000 crore-plus extra money and local bodies will get Rs. 2.87 lakh crore in the next five years. As an Urban Development Minister, as I told you, I am very happy about it and the entire country is also rejoicing. All the Chief Ministers, whichever party they belong to will also be more than happy at this radical altering in the Centre and States’ relations. The total transfer will now amount to 47 per cent of divisible pool tax and also five per cent for local bodies and also the other things I have said. Rs. 1.94 lakh crore grant will be given to 11 revenue deficit States like Andhra Pradesh, West Bengal, Himachal Pradesh, Jammu and Kashmir, etc. Andhra Pradesh will get an additional money for revenue deficit for the coming five years because it is revenue deficit not because of any other reason. The country will move forward only when the States develop as I said. Earlier, it was devaluation; now, it is devolution. It is a revolution. It is the evolution of the Narendra Modi Government that this devolution has taken place in such a short time. People used to call our Prime Minister 3D; they used to say, ‘Modi means 3D’. … (Interruptions) I said people, not you. Your leader is not here; you cannot say anything. They used to say, ‘Mr. Modi means 3D’; he is 4D now – decisive, dynamic, development and devolution to the States. That is the revolution he has brought. That is why he will be seen as 4D. … (Interruptions) He may talk about his leader. I have no objection. His leader is not there. He is out of the country. … (Interruptions) You see the objective of the NITI Aayog, the National Institution for Transforming India. It is a very important thing – transforming India into a developed country, into a strong country, into a strong economy and a self-respecting economy. That is the idea behind NITI Aayog. That is why we call it, National Institution for Transforming India. Today, all the Chief Ministers are equal partners in the Governing Council of the NITI Aayog for the first time because the hon. Prime Minister said that we have to work as ‘Team India’. We have to really implement co-operative federalism. That is the spirit with which we have to work. Even in the President’s Address also that point has been stressed because we want to have development of all the States together, we want all to work with all the States together, we want them to be equal partners in development and we want to work as ‘Team India’. We are committed and have initiated measures to stir action in every field right from sanitation to smart cities, poverty elimination to creation of wealth, skill development to conquering space, tapping demographic dividend to diplomatic initiatives, enhancing ease of doing business to putting in place a stable policy framework, empowering individuals to ensuring quality infrastructure, ending financial untouchability to making the country a manufacturing hub, containing inflation to stimulating economy, igniting minds to ensuring inclusive growth, promoting cooperative federalism to encouraging a competitive spirit among the states. · Igniting minds to ensure inclusive growth. · Promoting cooperative federalism to encourage a competitive spirit among the States. This is the direction in which we are moving. I do not know why anybody should have any objection. In the last nine months, the overall inflation, which was at 11.16 per cent in November 2013, has dropped to a record low of 4.38 per cent. Wholesale Price Index (WPI) inflation which was at 6 per cent in 2013-14 declined to 0.1 per cent in December 2014. Food inflation, which was at 9 per cent in 2013, has declined to 4.1 per cent in December, 2014. Consumer Price Inflation (CPI) – not our CPI – which was 12.5 per cent in 2013 has declined to 4.8 per cent in December, 2014. It had come down to 5.6 during last 10 years. Now growth in GDP during 2014-15 is estimated at 7.4% as compared to 6.9% in 2013-14. Growth rate of GDP was 4.6 per cent when we left the regime. At this rate, going by the spirit of the Presidential guidance given by the Government to this House, the country will progress. I am sure, in the coming years India will be reaching the highest growth rate in this entire region. That will become a reality. I am sure about it.",1816,hi
