Speaker,Speech,Words_in_Speech,Language
Preamble,"Title: Further discussion on the Motion of Thanks on the President’s Address moved by Smt. Meenakashi Lekhi and seconded by Smt. Harsimrat Kaur Badal on 24th February, 2016 (Discussion not concluded).",31,en
HON. SPEAKER,"Now, we take up the debate on the Motion of Thanks on the President’s Address; Shri Thota Narasimham.",18,en
SHRI THOTA NARASIMHAM (KAKINADA),"Thank you very much, Madam, for giving me an opportunity. First of all, I sincerely thank the hon. President of India for delivering his valuable speech in this august House. 15.28 hours (DR. P. Venugopalin the Chair) We need to be partners in the growth of our country. The development philosophy envisaged by the Government through the President’s speech is ‘sabka saath, sabka vikas’. Abdul Kalam once posed an interesting question to students, “ Who is our enemy? ” So many students gave answers as Pakistan, China, America and so on. But one intelligent girl gave the most appealing and appropriate reply, applauded by Kalamji, “ Poverty is our biggest enemy’. Every Indian has to realize this. Our every move should be in the direction of complete eradication of poverty from our mother India. Hon. President of India remarked it as ‘sacred responsibility’ of the Indian Government. We appreciate the term ‘sacred responsibility’ used. Development philosophy of any Government depends on the welfare of the farmers. I have a pertinent suggestion on poverty. Growth is not the sole objective of economic policy. It is necessary to ensure that the benefits of growth accrue to all sections of society. The poorest of the poor are entitled to the first charge on the nation’s resources. We must ensure that the poor and the deprived are truly empowered to take advantage of opportunities to improve their lives. The perception regarding what constitutes poverty varies over time and across countries. Nevertheless, there is a need to measure poverty. Then only it will be possible to evaluate how the economy is performing in terms of providing a certain minimum standard of living to all its citizens. I request the Union Government to think in the lines of measuring poverty. Make in India initiative has achieved 39 per cent increase in FDI inflow despite adverse global investment climate. It is not a small achievement in this adverse global condition. I appreciate the Government for making up this programme a success. Make in India programme aims to transform India into a manufacturing hub. Defence procurement procedure with a focus on indigenously designed, developed and manufactured weapon systems will certainly boost up our Make in India initiative. The hon. President declares that the Government’s top agenda programmes are financial inclusion, social security, clean India. Pradhan Mantri Jan Dhan Yojana, a financial inclusion scheme helps for eradication of poverty. The fruits of our development have not yet reached the poorest of the poor. This can be achieved through inclusive growth. Mere giving of scholarships, setting up of a new Venture Capital Fund for SC entrepreneurs cannot serve the purpose. These downtrodden people of the society have to be brought to the mainstream through inclusive growth. Voluntary organisations have to be necessarily involved in this task. Economic development and environmental protection can co-exist. Biodiversity and wildlife protection is often termed as a 'co-benefit' to mitigate climate change. I congratulate the Government, which played a proactive role in addressing climate change by launching International Solar Alliance. The main hurdle for India's development is corruption and red-tapism. Due to the prevalence of both, qualified youth of India are flying to USA, UK and other countries. Even though they have love and affection towards their motherland, their strengths are not rightly channalised for developing their motherland. I am highly confident that our Prime Minster will best utilize the services of those NRIs for building a vibrant India. We have also been witnessing agitations for reservation in the country, which are taking violent shapes also. The scientific reason behind demanding reservation by these sections of the society is nothing but backwardness. Shri Venkaiah Naidu ji is the Chairperson of the Committee to study the issues to providing reservations. I also request the Government to take steps for focussed-skill development for these sections. Alternative employment generation schemes have to be developed for these deprived sections in the rural areas. In the long run, these activities lead sustainable growth and bring prosperity to those sections. The earlier Governments have politicized everything. Their topmost priority is only their political agenda. They were least bothered about the National Integrity, Sovereignty of our country and development of the people. They brutally cut down the State of Andhra Pradesh. People of Andhra Pradesh taught them a befitting lesson. Not even a single MP or MLA elected from their Party. Even now, neither they have realisation nor repentance. They are living in dreams. God only save their Party. Sir, with regard to our State of Andhra Pradesh, I want to reiterate the long pending demand of the people of Andhra Pradesh. Due to unscientific bifurcation of the State of Andhra Pradesh, our State has been facing great many hardships. We have high fiscal deficit. Revenue loss is growing phenomenally. Even though the 14thFinance Commission extended support to the States, that support is not adequate to our State. We are the aftermath of a politically motivated bifurcation. It is the most unkindest cut of. In order to come on the main track, the people of Andhra Pradesh request a big helping hand from the Centre. Our State needs ‘special grants’ and ‘special packages’ from the Centre. We should not be treated on par with other States. We request a special concern towards the people of our State. We do not have a Capital. We have been running the administration from another State. I request the Union Government to fulfill all the promises made during the time of bifurcation. I request you to grant special status to Andhra Pradesh, special status will enable us to industrially develop the backward districts of our Andhra Pradesh. It will enable us to stand on our legs. It is the need of the hour for the benefit of the people of our State. We are in the process of constructing Amaravathi as a People’s Capital to our Andhra Pradesh State. I request generous financial assistance from the Union Government in this regard. Rail, Road and Air Connectivity have become a minimum necessity to any Capital. I request the hon. Minister for Surface Transport and hon. Railway Minister to be generous to provide connectivity to our Capital city Amaravathi. Recent cyclone not only drenched Chennai city but most of our districts are severely affected, losses were enumerated and a detailed report was already sent to the Union Government from our Andhra Pradesh State. I request the Union Government to extend a helping hand in the form of financial assistance. India ranks world number two in fish production and also the second highest aquaculture country in the world. India with a fishermen population of 14.5 million and a coastal line of 8,118 kilometres can rise to be a major player in the world fisheries. We have a fleet of 2 lakh fishing vessels. Even though we have vast area, most of our inland water resources are unutilized and untapped. Blue Revolution has to be given the topmost priority in India. The Government of India already announced ‘Blue Revolution-Inland Fisheries’. Andhra Pradesh is having the second longest coastal line in the country, consisting of 960 kms. after Gujarat. I would request the Union Government to give top priority to Andhra Pradesh State in the area of Blue Revolution and inland fisheries. I take this opportunity to congratulate our hon. Railway Minister for allocation of funds to the State of Andhra Pradesh, mostly to my constituency, Kakinada, and this issue is the 50 years long pending issue. Kakinada is the mainland issue. Recently, in the Railway Budget, the hon. Railway Minister allocated Rs.50 crore to mainland Kakinada and Rs.200 crore to another very long pending demand, that is, Kotipalli to Narsapurm line in our district. He also sanctioned Rs.200 crore for this. I congratulate the hon. Railway Minister, on behalf of my Party, Telugu Desam Party. I take this opportunity to congratulate our hon. Railway Minsiter for announcing three dedicated railway freight corridors. Our hon. Chief Minister made another request. He requested to develop another small line between Vizag and Raipur as a part of the national level freight corridors. This would create a circular railway network in Andhra Pradesh connecting nearly 1,200 kms of coastal line to the neighbouring States. This will strongly create connection among Vizag, Vijayawada and other major cities of Andhra Pradesh to Mumbai and Kolkata. This will pave the way to develop Andhra Pradesh as an industrial hub. I would request the hon. Union Railway Minister to positively consider the request of our hon. Chief Minister. There is no announcement about Vizag as a Railway Zone. We have great hopes. I would request the hon. Railway Minister to take steps to announce Vizag as a Railway Zone immediately. Digital India is a prestigious programme started by the Union Government. Our Chief Minister is the first man to encourage innovative technologies. Under the Digital India programme, he initiated fibre grid connectivity to the nook and corner of Andhra Pradesh. Fibre grid works are going on at a brisk pace in our State. The Government would provide internet, telephone and cable TV connection through fibre line to every household in the State. It would cost per month just Rs.150 per household for these facilities. The laying of 23,000 km. cable network would be completed by June, 2016. The Government has been spending Rs.333 crore on the project and it will be completed in a record time. As many as 130 lakh families would be benefited from the fibre grid project. We are moving ahead, what all we need is the financial support from the Central Government to develop on par with other States of India. I am confident that we will receive the best possible support from the Union Government. I wholeheartedly thank the hon. President for delivering his valuable speech. Sir, I also thank you very much for giving me this opportunity.",1645,en
