Speaker,Speech
SHRI P.P. CHOUDHARY,"In President‟s Address, all the main issues be 
it internal security of the country, foreign policy, need for infrastructural facilities, 
health care, education, roads, problems of farmers and Bharat Nirman Yojana have 
been covered.  Besides, important schemes concerning National Solar Energy 
Mission, Rail Project and effective measures to launch drive against corruption and 
bring back black money stashed by Indians abroad and policy to provide affordable 
justice to common man have also been included therein.  I am sure that consequent 
upon these measures the country will make progress by leaps and bounds and 
achieve stable 9 per cent growth rate and will ensure full participation of dalits, 
minorities, farmers, workers and women in the development of the country."
SHRIMATI P.K. SREEMATHI TEACHER,"The President Address 
contains the policies and programmes of the Union Government.  One of the 
Policies announced by the Government is the proposal to introduce diamond 
quadrilateral high-speed trains in the country.  It is a welcome move.  At the same 
time, the Government should take effective steps to improve the condition of the 
Indian Railways which is in shambles.  Majority of our railway stations and trains 
are in a pathetic condition.  Even basic amenities like drinking water, toilets etc. 
are not available in trains and at the platforms. Hence, our first priority should be 
to improve the conditions of the Indian Railways.  It is a welcome move that the 
Government is committed to provide 33 per cent reservation to women in 
parliament and State Legislative Assemblies.  It is heartening to note that the 
Government will have a policy of zero tolerance for violence against women.  But 
the fact is that not only the country but also the entire world is witnessing crimes 
against women in India.  Child trafficking and drug trafficking are widely 
prevalent in the country.  Effective mechanism should be brought in to find out the 
organized drug mafia net work in the country and punish them.  In order to 
strengthen qualitative higher education in the country more central universities 
should be set up in each and every State.  In order to encourage sports in the 
country sports infrastructure should be set up in large scale in all States.  A large 
quantity of grains stored in our FCI godowns is getting rotten.  In order to prevent 
this Public Distribution System should be strengthened.  Effective steps should be 
taken to prevent farmers‟ suicides in the country.  Farmers should be provided 
fertilizers at subsidized rate and loans at low interest.  The minimum support price 
should be increased.  A National Social Security Board for the unorganized sector 
workers should be created.  Effective laws should be made to prevent the rise of 
black money in the country.  Law should be made for judicial accountability in the 
country. High Courts should be set up in every State capital.  More AIIMSs, should 
be set up in the country.  Import of rubber should be stopped to help the rubber 
growers of the country."
ADV. JOICE GEORGE,"As the Government is having absolute majority 
in the house, I hope that the secular values of our nation would not be undermined 
during the tenure of this government.  There is a need to address issues relating to 
the agrarian community as good governance can‟t be ensured without addressing 
the problem faced by the agrarian community.  Today, the farmers are finding it 
very difficult to pull on their lives due to the fluctuations of the prices of the 
agriculture produces.  Hence I request the government to formulate policies and 
make laws for the purpose of protecting the interest of the farmers so that they may 
get a reasonable price of their agricultural produces.  Another issue is the 
apprehensions of the people living in the Western Ghats regions due to the 
recommendations made by Western Ghats Ecology Experts Panel.  The report of 
the panel is not acceptable to agrarian community as it didn‟t consider the real 
issue of conservation involving of the people living in the area.  The 
developmental aspiration of the people would be curtailed if the recommendations 
of the report are made applicable.  There is a need to pay more attention to the 
matter concerning the SC/ST people in the areas of providing basic amenities and 
infrastructure support.  The efforts for improving the educational facilities should 
also be included in the programs for improving the quality of imparting education."
SHRI TARIQ ANWAR,"President‟s Address is the roadmap of the 
Government.  Everybody is aware that the mandate in these elections is clearly in 
favour of BJP and NDA and all of us accept it because the mandate given in a 
democratic set up is ultimate and we welcome it.  We would like to assure the 
Government that the Government will get our support in all those initiatives taken 
by it which are for the welfare of the people and the country.  We are not going to 
oppose just for the sake of opposition.   Its seemed from the speech given by Rudy 
ji yesterday that the country want to adopt Chinese model of growth instead of 
Gujarat model of growth.  He also said in his speech that nothing has been 
achieved in the last 65 years.   However, it is very hard for a person to accept new 
ideas once he makes up his mind in favour of a particular idea or notion.   History 
is going to tell us as to what were the achievements of the UPA Government 
during its tenure. They have shown a golden dream to the people of this country 
which they will have to realise.  Now no excuse will work as they enjoy full 
majority in the House.  They will have to work for the country.  I read in the 
Address that the government is concerned about the minority community.  They 
are talking of bringing minority community into the mainstream.  But my 
suggestion is that charity begins at home and ironically not a single MP from 
minority community has been elected on their party ticket.  Besides, they are 
trumpeting everywhere that they invited the heads of various SAARC countries.  
But they forget that this is the same country which led the Non-Aligned Movement 
and has always been at the forefront in external affairs.  Therefore, they need not 
pat their own backs that they have done something extra ordinary by inviting all 
the heads of SAARC countries."
SHRI SHIVKUMAR UDASI,"I support to motion thanks on the 
president‟s address.  General Election 2014 was an election of hope.  The people of 
India voted decisively in favor of development.  I hope government will commit to 
make weaker and downtrodden sections of the society equal partner in the progress 
of the nation.  It is good that the Government is in favor of all-round development 
through good governance and it is pledging the principles of “Sabka Saath, Sabka 
Vikas” by functioning on the mandate “Minimum Government, Maximum 
Governance”. The government has shown its commitment to increase investment 
in agriculture, especially in agriculture infrastructure with the uniform crop 
insurance to all the farmers.  The Government has said that it will launch a 
National Multi-Skill mission whereby our youth can compete with the world‟s 
youth.  The Government has also said that it will improve the fiscal deficit by 
reducing inflation.   However, priority should be given to strengthen our share in 
global trade and increase GDP.  Crop insurance scheme is ailing since its 
inception.  Obvious maladies of the scheme are low coverage of crops, low 
awareness of farmers, low access of farmers to institutional credit, low operational 
performance, low education of farmers and continuous banks‟ failure in achieving 
the target of priority.  Therefore, I request the government to consider a uniform 
and unvarying crop insurance scheme which will be much more beneficial to 
farmers.  I welcome Government‟s move to develop infrastructure with 
connectivity and modernizing the Railways with diamond quadrilateral project of 
High speed trains.  People of this country have reposed immense hope and faith in 
this Government.  So now it should come upto the expectations of the people  by 
building a strong, self sufficient self-confident India so that India could regain its 
rightful place in the comity of nations.    
KUMARI SHOBA KARANDLAJE: In the President‟s Address there is a 
roadmap for the new Government headed by Prime Minister Narendra Modi Ji.  
The Government is committed to provide 33 per cent reservation for women in the 
Parliament and State Legislative Assemblies.  With a commitment of ‘Beti 
Bachao-Beti Padhao’, “the Government will have a policy of zero tolerance for 
violence against women, and will strengthen the criminal justice system”.  The 
strong law should be enacted to protect women.  Young generation is looking 
forward for strong India. Internal security and external security of India is priority 
of our Government.   All are waiting for the stringent action against anti-nationals.  
This is rightly mentioned in the President‟s Address that this Government is 
dedicated to the poor.  Poverty has no religion, hunger has no creed, and despair 
has no geography.  The greatest challenge before us is to end the curse of poverty 
in India.  This Government will not be satisfied with mere „poverty alleviation‟.  
The country is experiencing a new type of governance that is clean, competent as 
well as compassionate and transparent.  The Government is committed to 
providing a clean and efficient administration.  Digitization of Government records 
will be done for improving accessibility."
SHRI KAPIL MORESHWAR PATIL,"I support the President‟s Address.   
He has shown the commitment to lead the country on the path of development by 
creating atmosphere of confidence amongst the people of the country. This 
Government would meet the expectations of the people of the country.  
THE MINISTER OF EXTERNAL AFFAIRS AND THE MINISTER 
OF OVERSEAS INDIAN AFFAIRS (SHRIMATI SUSHMA SWARAJ): I rise 
to support the Motion of Thanks on the President‟s Address moved by Shri Rajiv 
Pratap Rudy in the House yesterday.  In the past, we have heard, read and even 
discussed such Addresses in the House but the present Address is something 
different.  It is different because in this Address right from the first page to the last 
page we have not leveled any allegation on the previous government.  Rather we 
have stated what is our stand with regard to the solution of the problems being 
faced by the country.  This Address starts with the clear cut mandate that we have 
got and this mandate has given a new dimension to the Indian politics.  As a party 
we got 282 seats and with our allies this figure reached to 336 seats.  There were 
two main reasons for such victory.  First, there was public resentment against the 
previous government and second, the people chose BJP led by Shri Narendra Modi 
as an alternative for the country.  That is why the barriers of caste and creed were 
broken in this election, the candidates became secondary and the people brought us 
victory by margins of lakhs of votes.  But having achieved this victory we are 
aware that big victory entails bigger responsibility.  That is why we accept this 
verdict of the people with great humility.   
It has been said in the Address that this election is the election of hopes. So, 
we have to come up to the expectations of the people.  We have identified ten 
factors responsible for public resentment against the previous government in this 
country.  These ten factors are: inflation, corruption, scams, plight of farmers, 
declining of industrial growth, slow pace of trade and commerce, unemployment 
among youth, crimes against women, misuse of institutions and undignified 
treatment meted out to the soldiers on the borders.  So far as inflation is concerned 
we have given it a top most priority and we have mentioned in the Address that we 
will take effective measures to curb both black marketing and hoarding to rein in 
inflation.  So far as corruption is concerned, our government is fully resolved to 
make country free from corruption and black money.  So far as curbing scams is 
concerned, we have reiterated our resolve that we would provide good governance 
and make the system transparent.  Regarding the plight of the farmers, I would like 
to say that our farmers are facing adverse conditions and are sometimes compelled 
to commit suicide.  Today, agriculture is no longer a profitable occupation.  
Therefore, we reiterate our commitment that we would make agriculture a 
profitable occupation again.  So far as industrial growth is concerned, the country 
has come to a standstill.  No growth is taking place.  I am happy that our Prime 
Minister has given three mantras – skill, scale and speed.  With these three mantras 
we will definitely accelerate the pace of industrial development.  So far as the slow 
pace of trade and commerce is concerned, we have said that we will improve the 
situation and we will not only increase domestic trade but also be able to compete 
in world trade.  So far as unemployment among the youth is concerned, we are 
going to launch a multi skill mission so that skill may be developed among young 
talents who may become self employed and live the life with dignity.  Regarding 
women empowerment, I have repeatedly said that if we want the upliftment of 
women four things are needed – education, security, economic independence and 
political empowerment.  So far as 33 per cent reservation for women is concerned, 
I want that the passage of Women‟s Reservation Bill should become a milestone 
for 16th Lok Sabha. So far as misuse of institutions is concerned, such incidents 
have weakened the federal structure of the country.  We know that federal structure 
is the life and blood of the Constitution of our country and institutions like CVC, 
CAG and CBI are those pillars of democracy which should be allowed to function 
independently.  So, tussle between the Union and the States over the use of these 
institutions is not good for the democracy of the country.  That is why we have said 
that we will restructure institutions like NDC and integrate them as powerful team 
India.  So far as undignified treatment meted out to our soldiers is concerned, this 
Government will set up a national war memorial for its soldiers and implement one 
rank one pension scheme.   
These are all the ten points which have been mentioned in the Address.  
Besides, it has been said that no mention of schemes has been made in this 
Address. I want to say that we have stated some big schemes in the Address.  We 
have said that we will set up IITs in every state; we will set up hospitals like 
AIIMS in every state; we will build 100 new cities with world class amenities; we 
will launch diamond quadrilateral project on the lines of golden quadrilateral 
project of highways and finally we will revive the Ganga River.  Are these not big 
schemes? So far as our foreign policy is concerned I now can say that with the 
formation of our government the stature of India has risen overnight; India has 
regained its potential.  Finally, I want to say that we will keep India on high 
pedestal on international fora and this is our commitment."
SHRI RAMCHANDRA HANSDAH,"Unity in diversity is the 
characteristics of India.  No Indian becomes a patriot by saluting the map of India.  
The person who understands the diversity of the country and respects the people of 
different castes, religion and culture living within the boundary of the country is 
the real patriot.  Yesterday our BJP leader in the House has mentioned about 
backwardness of our state Odisha.  Our state is lagging behind in development 
parameters.  It is good that the founding fathers of our Constitution incorporated 
Articles like 330, 335 in our Constitution for establishing equality and giving 
social justice to the backward and downtrodden classes of the society.  Though it 
was a temporary provision initially for 10 years, we have to extend it for more than 
60 years.  But even after 65 years of independence, we have failed to bring social 
equality."
SHRI KAMLESH PASWAN,"The President has said that this election has 
been the election of hopes.  There cannot be two opinions that the people of the 
country have lots of hopes from this Government and this is the reason that after a 
long period 66.4 per cent voters have participated in the elections overwhelmingly 
and given tremendous and clear mandate to a single party.  I do hope that the 
people of the country have reposed faith on us and we will fulfill the aspirations of 
the people of the country.   Our objective is to work for good governance and 
development.  It will prove a stable and honest Government.  This Government 
will ensure to the people of the country an India which will be free from fear, 
hunger and corruption.  The President has raised several important issues in his 
Address.  I have been elected to this House from Bansgaon Lok Sabha 
Constituency from Uttar Pradesh and this region is lacking in the facilities like 
tourism and rail connectivity.  In Bansgaon there is ample scope for development 
of tourism in Bansgaon which can play an important role in our socio-economic 
advancement.  Bansgaon Parliamentary Constituency has been a center of culture 
and power since ancient times.  The President has said that in order to promote 
pilgrimage, the pilgrim centres of all the religions will be beautified and a mission 
will be started for improvement of public amenities and infrastructure there.  I 
demand that keeping in view the historic and religious importance of Bansgaon, it 
should be included in the tourist circuit.  The previous Government only gave 
assurances to the people and no work was done.  I demand from the Union 
Government that NH-29 be converted into four lane and Ram-Janki route be 
included in the list of historic heritage."
SHRI RAVINDRA KUMAR PANDEY,"Today after 30 years a 
Government led by BJP has come to power with a huge mandate.  This 
Government has created rays of hope among the people and has created an 
atmosphere of confidence among them.  The Government is committed to provide 
good governance and make India great.  In President‟s Address commitment has 
been made to eradicate poverty from the country.  More than 70 per cent 
population of the country lives in villages.  The Government is developing a new 
model of development for cities as well villages.  It will lead to allround 
development of the country.  India is pre-dominantly an agricultural country and 
the Government has promised to promote agriculture by increasing allocation for 
it.  With introduction of Pradhan Mantri Sinchayee Yojana, a new Green 
Revolution will start.  Yoga and Ayush etc. the ancient Indian health system will 
be promoted.  I welcome the policies to be framed to prevent exploitation of 
women.  I wholeheartedly appreciate commitments of the Government for 
rehabilitations of Kashmiri Pandits and to stamp out terrorism.  Introduction of 
high speed trains by modernizing the rail sector will be a big gift of this 
Government.  The Ganga is the longest and important river of the country and a 
commitment has been made for its revival.  The road map of development, 
progress, economic and good governance is visible in the president‟s Address.  
With these policies, the country will be called a developed a country."
SHRI PRASANNA KUMAR PATASANI,"The President‟s Address is 
merely a rehash of the election manifesto presented by the incumbent Government 
and not actually a blueprint.  The newly elected NDA Government appears to 
prefer wordplay and election slogans to a „concrete roadmap‟ on what it plans to 
do in the months ahead.  The BJP-led Government did not appear to be focused on 
governance, creation of jobs or containing inflation.   There is no concrete roadmap 
as to how are they going to achieve all this?"
